ORD	Char	%	Área	Grayscale
32	 	0,00%	0,0000	255
32	 	0,00%	0,0000	254
32	 	0,00%	0,0000	253
32	 	0,00%	0,0000	252
32	 	0,00%	0,0000	251
32	 	0,00%	0,0000	250
180	´	5,77%	114,6191	249
180	´	5,77%	114,6191	248
180	´	5,77%	114,6191	247
180	´	5,77%	114,6191	246
180	´	5,77%	114,6191	245
180	´	5,77%	114,6191	244
180	´	5,77%	114,6191	243
180	´	5,77%	114,6191	242
180	´	5,77%	114,6191	241
180	´	5,77%	114,6191	240
900	΄	6,65%	132,0183	239
900	΄	6,65%	132,0183	238
168	¨	7,19%	142,7126	237
183	·	7,32%	145,4568	236
730	˚	8,05%	159,7753	235
730	˚	8,05%	159,7753	234
733	˝	8,58%	170,4311	233
184	¸	9,00%	178,6600	232
728	˘	9,82%	195,0904	231
728	˘	9,82%	195,0904	230
710	ˆ	10,01%	198,7840	229
46	.	10,52%	208,8928	228
713	ˉ	11,41%	226,5358	227
732	˜	11,50%	228,4024	226
732	˜	11,50%	228,4024	225
732	˜	11,50%	228,4024	224
176	°	13,00%	258,1285	223
176	°	13,00%	258,1285	222
176	°	13,00%	258,1285	221
901	΅	13,83%	274,7309	220
45	-	14,46%	287,2276	219
45	-	14,46%	287,2276	218
45	-	14,46%	287,2276	217
45	-	14,46%	287,2276	216
39	'	16,44%	326,5714	215
39	'	16,44%	326,5714	214
44	,	16,54%	328,4333	213
44	,	16,54%	328,4333	212
44	,	16,54%	328,4333	211
44	,	16,54%	328,4333	210
185	¹	18,90%	375,2660	209
185	¹	18,90%	375,2660	208
185	¹	18,90%	375,2660	207
185	¹	18,90%	375,2660	206
58	:	21,04%	417,7856	205
58	:	21,04%	417,7856	204
58	:	21,04%	417,7856	203
58	:	21,04%	417,7856	202
58	:	21,04%	417,7856	201
175	¯	21,93%	435,4286	200
175	¯	21,93%	435,4286	199
95	_	21,93%	435,4287	198
95	_	21,93%	435,4287	197
126	~	23,07%	458,2164	196
126	~	23,07%	458,2164	195
126	~	23,07%	458,2164	194
172	¬	25,00%	496,4733	193
172	¬	25,00%	496,4733	192
172	¬	25,00%	496,4733	191
34	"	25,75%	511,3721	190
34	"	25,75%	511,3721	189
166	¦	26,30%	522,2320	188
166	¦	26,30%	522,2320	187
59	;	27,07%	537,6136	186
59	;	27,07%	537,6136	185
59	;	27,07%	537,6136	184
59	;	27,07%	537,6136	183
33	!	29,43%	584,3842	182
33	!	29,43%	584,3842	181
33	!	29,43%	584,3842	180
161	¡	29,43%	584,3841	179
161	¡	29,43%	584,3841	178
247	÷	30,87%	612,9766	177
247	÷	30,87%	612,9766	176
42	*	31,54%	626,3143	175
42	*	31,54%	626,3143	174
953	ι	32,19%	639,2333	173
178	²	32,50%	645,3662	172
305	ı	32,70%	649,4570	171
179	³	33,19%	659,2126	170
124	|	33,31%	661,6115	169
124	|	33,31%	661,6115	168
124	|	33,31%	661,6115	167
43	+	35,29%	700,8959	166
43	+	35,29%	700,8959	165
60	<	35,63%	707,5679	164
62	>	35,63%	707,5680	163
62	>	35,63%	707,5680	162
47	/	37,14%	737,6073	161
92	\	37,14%	737,6078	160
61	=	37,70%	748,7679	159
1075	г	37,96%	753,9034	158
187	»	38,84%	771,2507	157
171	«	38,86%	771,7682	156
186	º	39,25%	779,4121	155
94	^	39,74%	789,2713	154
237	í	39,95%	793,3377	153
105	i	40,03%	794,9138	152
114	r	40,83%	810,8003	151
1090	т	41,48%	823,7696	150
170	ª	41,57%	825,6119	149
170	ª	41,57%	825,6119	148
76	L	42,62%	846,4313	147
76	L	42,62%	846,4313	146
915	Γ	43,06%	855,2527	145
1169	ґ	43,43%	862,4074	144
299	ī	44,11%	875,9928	143
174	®	44,28%	879,4240	142
964	τ	44,78%	889,3217	141
108	l	44,98%	893,2447	140
238	î	45,47%	902,9746	139
74	J	45,71%	907,8130	138
912	ΐ	46,02%	913,9642	137
215	×	46,46%	922,6369	136
191	¿	47,17%	936,7705	135
63	?	47,40%	941,3588	134
40	(	47,72%	947,6408	133
957	ν	48,06%	954,4306	132
177	±	48,74%	967,9532	131
1095	ч	48,96%	972,3957	130
933	Υ	49,36%	980,2907	129
343	ŗ	49,79%	988,8664	128
314	ĺ	50,04%	993,7241	127
55	7	50,78%	1008,4949	126
320	ŀ	50,89%	1010,7469	125
164	¤	51,19%	1016,6272	124
1079	з	51,75%	1027,6494	123
321	Ł	52,04%	1033,4623	122
125	}	52,39%	1040,4744	121
123	{	52,49%	1042,4494	120
965	υ	53,21%	1056,7969	119
115	s	53,70%	1066,3856	118
312	ĸ	54,06%	1073,6543	117
120	x	54,60%	1084,3287	116
73	I	55,02%	1092,6104	115
122	z	55,47%	1101,6441	114
49	1	55,79%	1107,9225	113
67	C	56,19%	1115,9689	112
1098	ъ	56,48%	1121,5804	111
121	y	57,03%	1132,5570	110
86	V	57,29%	1137,8159	109
106	j	57,48%	1141,6055	108
356	Ť	58,05%	1152,8387	107
374	Ŷ	58,01%	1152,0218	106
53	5	58,79%	1167,5615	105
1087	п	59,39%	1179,4137	104
51	3	59,70%	1185,5609	103
50	2	59,88%	1189,2173	102
162	¢	60,26%	1196,7794	101
110	n	60,93%	1210,1135	100
1116	ќ	61,31%	1217,5351	99
